tweet_id,cleaned_text,sentiment_score,feature_1,feature_2,feature_3,feature_4,feature_5
1,The cat teaches students.,0.41361557528381243,0.6052309442493776,0.7749861118645016,0.9233295570518701,0.8175544597969849,0.4671788157991619
2,An astronaut jumps a bridge.,0.5088465611168265,0.16147537394188627,0.8577020468727684,0.8142908566383116,0.2990957180678059,0.5673948558343272
3,A developer builds over the fence.,0.24156931934021086,0.6584820358938623,0.2718843921730628,0.13207208086767597,0.31780525136365423,0.0569934915257746
4,The artist teaches a bridge.,0.08881466750020173,0.047786246656089104,0.04933596157514708,0.0740909150476291,0.020476658893585298,0.2895018931460882
5,A teacher builds students.,-0.09227779485168819,0.9126920632818458,0.47247651009477765,0.30015777983512015,0.7278828777462791,0.4334637208642138
6,A developer paints a new app.,-0.3690897144719705,0.33231361929773606,0.7677387015498149,0.45145013429355996,0.6206290550212258,0.7798607813702293
7,An astronaut paints over the fence.,-0.42635209943101837,0.2761664969689859,0.6337348753118479,0.39701667153432885,0.8968072414745837,0.3135386658506204
8,An astronaut paints over the fence.,-0.20161980034129257,0.7966310183759496,0.5615184259524861,0.22204179037638616,0.5343542062338222,0.069166218062922
9,The artist teaches a masterpiece.,0.8449699985913701,0.3324384035736766,0.05629426715294361,0.010762493196720624,0.6754510062672188,0.9383580361071023
10,The artist teaches over the fence.,-0.4268076710678965,0.20982192468228067,0.8451892712385283,0.9236807666283081,0.758052298254257,0.3963221663857148
11,A teacher teaches students.,0.669291241171849,0.3736214154172741,0.5621916333844987,0.2924130892735548,0.7452369427215401,0.8103519004779399
12,A teacher builds students.,0.4644426346326014,0.41228992042437274,0.6307109494499473,0.9634735026143258,0.4372199006777632,0.09982572465324158
13,The engineer teaches students.,-0.9092283686121612,0.9517278170430638,0.6128211138847154,0.2949608555966571,0.006418664297857868,0.20327027984861346
14,An astronaut teaches students.,-0.6749026771864555,0.19692379177543784,0.5377301701717583,0.3163713079348517,0.1685947656407487,0.5482381300588437
15,The cat codes the moon.,-0.5481724451971106,0.33717976165303376,0.07287726570439812,0.4617497544863586,0.7612279536611827,0.3692697773645749
16,The cat codes a new app.,-0.8797332292776099,0.10030224804238186,0.464640580272784,0.10936000043485583,0.7886138673229699,0.8386326586410249
17,An astronaut codes a masterpiece.,0.7585903395597042,0.0020077940934923877,0.7716339711489428,0.9349566631594335,0.5814135214242495,0.9039737393265372
18,A teacher teaches students.,0.2006784494240912,0.10717104067376504,0.719903835813629,0.3764324389474397,0.11428972323574127,0.695460506603521
19,A developer teaches students.,-0.06097178993835395,0.18128186974235694,0.029939637782987694,0.2699361271415833,0.7444451231959766,0.9094096335202929
20,The engineer codes a bridge.,-0.7598575101182721,0.5835939972921381,0.7320297553322281,0.6664578008778685,0.4588427130694187,0.6487711875109976
21,The cat jumps the moon.,0.7384087867525009,0.741560830149,0.7660793631278349,0.11826539450782914,0.4276210029657893,0.35462202816123867
22,A teacher explores a bridge.,0.41473936743477857,0.27676903446437495,0.8136219403340466,0.6984463882089246,0.557099396163811,0.7055367804842857
23,The cat builds over the fence.,-0.8479844178472256,0.8610284039730167,0.11181482890615113,0.5906138470071218,0.06581794493041648,0.6663513502709899
24,A teacher builds a new app.,-0.06023194467168347,0.09080690980506312,0.21517723806956246,0.6400350263937855,0.482455460478339,0.6848307775821193
25,The engineer jumps a masterpiece.,0.6527908530629039,0.7993222605827203,0.289028218823986,0.3596852814178715,0.6902418601773509,0.1053433372583259
26,A developer teaches a bridge.,-0.35025235148387446,0.3668976069923847,0.8541906958975869,0.19942775363457899,0.09286062236034365,0.08722986870174432
27,An astronaut teaches a new app.,0.4606300417508209,0.9808573600220797,0.6487909172996204,0.8208247351333606,0.7640909078893511,0.7959019606680343
28,The engineer builds the moon.,-0.6692762603816631,0.2539640720695281,0.03087605501323132,0.6778859710352974,0.18917072980862026,0.7210748794502627
29,An astronaut codes a masterpiece.,0.34864404669919713,0.1501840146621265,0.4853337263173608,0.8451012477132103,0.8477760136300171,0.06226129447435269
30,An astronaut explores a masterpiece.,-0.8584180109934985,0.8693419453158638,0.8483375972889444,0.413646694289147,0.1328553835331462,0.9789143722285454
31,An astronaut explores the moon.,0.04579700638213913,0.9894537600973723,0.1852428653884305,0.577230409074566,0.11944603930219722,0.010384181340948984
32,An astronaut builds a bridge.,0.4348506869382267,0.3146150160762433,0.31927145064679996,0.06760363527124957,0.7439469750548362,0.9014942991735709
